2026-05-21 21:16:53 | INFO     | embeddings | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Embedding model loaded: all-MiniLM-L6-v2
2026-05-21 21:16:53 | INFO     | file_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Ingested hostile.md: 3 chunks, user=atlas_qa
2026-05-21 21:16:54 | INFO     | file_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Ingested alpha_2024.md: 2 chunks, user=atlas_qa
2026-05-21 21:16:54 | INFO     | file_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Ingested beta_2026.md: 2 chunks, user=atlas_qa
2026-05-21 21:16:55 | INFO     | file_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Ingested delete_me.md: 2 chunks, user=atlas_qa
2026-05-21 21:16:55 | INFO     | plugin_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Plugin loaded: calculator v1.0.0
2026-05-21 21:16:55 | INFO     | plugin_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Plugin loaded: pdf_summarizer v1.0.0
2026-05-21 21:16:55 | INFO     | plugin_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Plugin loaded: quiz_generator v1.0.0
2026-05-21 21:37:12 | INFO     | plugin_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Plugin loaded: calculator v1.0.0
2026-05-21 21:37:12 | INFO     | plugin_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Plugin loaded: pdf_summarizer v1.0.0
2026-05-21 21:37:12 | INFO     | plugin_manager | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Plugin loaded: quiz_generator v1.0.0
2026-05-21 23:27:13 | DEBUG    | model_router | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Model selected: gemma2:2b (tier=micro)
2026-05-21 23:27:27 | INFO     | embeddings | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Embedding model loaded: all-MiniLM-L6-v2
2026-05-21 23:29:21 | DEBUG    | model_router | Akshay-core | Akshay-core-runtime-v4 | AKX-cd27fef098192d85abe0 | Model selected: phi3:mini (tier=light)
